station_id,name,lat,long,dockcount,installation,zip_code
2,San Jose Diridon Caltrain Station,37.329732,-121.901782,27,8/6/2013,95112
3,San Jose Civic Center,37.330698,-121.888979,15,8/5/2013,95121
4,Santa Clara at Almaden,37.333988,-121.894902,11,8/6/2013,95155
5,Adobe on Almaden,37.331415,-121.8932,19,8/5/2013,95121
6,San Pedro Square,37.336721,-121.894074,15,8/7/2013,94089
7,Paseo de San Antonio,37.333798,-121.886943,15,8/7/2013,95172
8,San Salvador at 1st,37.330165,-121.885831,15,8/5/2013,95130
9,Japantown,37.348742,-121.894715,15,8/5/2013,95122
10,San Jose City Hall,37.337391,-121.886995,15,8/6/2013,95108
11,MLK Library,37.335885,-121.88566000000002,19,8/6/2013,95128
12,SJSU 4th at San Carlos,37.332808,-121.883891,19,8/7/2013,95134
13,St James Park,37.339301,-121.88993700000002,15,8/6/2013,95054
14,Arena Green / SAP Center,37.332692,-121.900084,19,8/5/2013,95133
16,SJSU - San Salvador at 9th,37.333955,-121.877349,15,8/7/2013,95113
21,Franklin at Maple,37.481758,-122.226904,15,8/12/2013,94063
22,Redwood City Caltrain Station,37.486078000000006,-122.232089,25,8/15/2013,94002
23,San Mateo County Center,37.488501,-122.231061,15,8/15/2013,94070
24,Redwood City Public Library,37.484219,-122.227424,15,8/12/2013,94002
25,Broadway at Main,37.486725,-122.225551,15,8/12/2013,94064
26,Redwood City Medical Center,37.487682,-122.223492,15,8/12/2013,94065
27,Mountain View City Hall,37.389218,-122.081896,15,8/16/2013,94085
28,Mountain View Caltrain Station,37.394358,-122.07671299999998,23,8/15/2013,94042
29,San Antonio Caltrain Station,37.40694000000001,-122.106758,23,8/15/2013,94040
30,Evelyn Park and Ride,37.39027700000001,-122.066553,15,8/16/2013,94085
31,San Antonio Shopping Center,37.400443,-122.108338,15,12/31/2013,94043
32,Castro Street and El Camino Real,37.385956,-122.083678,11,12/31/2013,94039
33,Rengstorff Avenue / California Street,37.400241,-122.099076,15,8/16/2013,94041
34,Palo Alto Caltrain Station,37.443988,-122.164759,23,8/14/2013,94301
35,University and Emerson,37.444521,-122.163093,11,8/15/2013,94024
36,California Ave Caltrain Station,37.429082,-122.142805,15,8/14/2013,94302
37,Cowper at University,37.448598,-122.159504,11,8/14/2013,94304
38,Park at Olive,37.4256839,-122.13777749999998,15,8/14/2013,94303
39,Powell Street BART,37.78387100000001,-122.408433,19,8/25/2013,94141
41,Clay at Battery,37.795001,-122.39997,15,8/19/2013,94147
42,Davis at Jackson,37.79728,-122.398436,15,8/19/2013,94122
45,Commercial at Montgomery,37.794231,-122.402923,15,8/19/2013,94151
46,Washington at Kearney,37.795425,-122.404767,15,8/19/2013,94140
47,Post at Kearney,37.788975,-122.403452,19,8/19/2013,94112
48,Embarcadero at Vallejo,37.799953,-122.398525,15,8/19/2013,94161
49,Spear at Folsom,37.789625,-122.390264,19,8/20/2013,94102
50,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,23,8/20/2013,94102
51,Embarcadero at Folsom,37.79146400000001,-122.391034,19,8/20/2013,94114
54,Embarcadero at Bryant,37.787152,-122.388013,15,8/20/2013,94134
55,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643,23,8/20/2013,94107
56,Beale at Market,37.792251,-122.39708600000002,19,8/20/2013,94164
57,5th at Howard,37.781752,-122.405127,15,8/21/2013,94120
58,San Francisco City Hall,37.77865,-122.418235,19,8/21/2013,94143
59,Golden Gate at Polk,37.781332,-122.418603,23,8/21/2013,94124
60,Embarcadero at Sansome,37.80477,-122.403234,15,8/21/2013,94119
61,2nd at Townsend,37.780526,-122.39028799999998,27,8/22/2013,94151
62,2nd at Folsom,37.785299,-122.39623600000002,19,8/22/2013,94146
63,Howard at 2nd,37.78697800000001,-122.398108,19,8/22/2013,94143
64,2nd at South Park,37.782259,-122.392738,15,8/22/2013,94163
65,Townsend at 7th,37.771058,-122.402717,15,8/22/2013,94154
66,South Van Ness at Market,37.774814,-122.418954,19,8/23/2013,94143
67,Market at 10th,37.776619,-122.417385,27,8/23/2013,94159
68,Yerba Buena Center of the Arts (3rd @ Howard),37.784878000000006,-122.401014,19,8/23/2013,94123
69,San Francisco Caltrain 2 (330 Townsend),37.776377,-122.39607,23,8/23/2013,94108
70,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526,19,8/23/2013,94158
71,Powell at Post (Union Square),37.788446,-122.408499,19,8/23/2013,94131
72,Civic Center BART (7th at Market),37.780356,-122.412919,23,8/23/2013,94160
73,Grant Avenue at Columbus Avenue,37.798522,-122.407245,15,8/21/2013,94139
74,Steuart at Market,37.794139,-122.394434,23,8/25/2013,94111
75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,8/25/2013,94156
76,Market at 4th,37.786305,-122.404966,19,8/25/2013,94158
77,Market at Sansome,37.789625,-122.400811,27,8/25/2013,94131
80,San Jose Government Center,37.352601,-121.905733,15,12/31/2013,95035
82,Broadway St at Battery St,37.798541,-122.40086200000002,15,1/22/2014,94132
83,Mezes Park,37.491269,-122.236234,15,2/20/2014,94063
