station_id,name,lat,long,dockcount,installation,zip_code
62,2nd at Folsom,37.785299,-122.39623600000002,19,8/22/2013,94146
63,Howard at 2nd,37.786978000000005,-122.39810800000001,19,8/22/2013,94143
64,2nd at South Park,37.782259,-122.392738,15,8/22/2013,94163
65,Townsend at 7th,37.771058000000004,-122.402717,15,8/22/2013,94154
66,South Van Ness at Market,37.774814,-122.418954,19,8/23/2013,94143
67,Market at 10th,37.776619000000004,-122.41738500000001,27,8/23/2013,94159
68,Yerba Buena Center of the Arts (3rd @ Howard),37.784878000000006,-122.40101399999999,19,8/23/2013,94123
69,San Francisco Caltrain 2 (330 Townsend),37.776377000000004,-122.39607,23,8/23/2013,94108
70,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526000000001,19,8/23/2013,94158
71,Powell at Post (Union Square),37.788446,-122.408499,19,8/23/2013,94131
72,Civic Center BART (7th at Market),37.780356,-122.41291899999999,23,8/23/2013,94160
73,Grant Avenue at Columbus Avenue,37.798522,-122.40724499999999,15,8/21/2013,94139
74,Steuart at Market,37.794139,-122.394434,23,8/25/2013,94111
75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,8/25/2013,94156
76,Market at 4th,37.786305,-122.40496599999999,19,8/25/2013,94158
77,Market at Sansome,37.789625,-122.400811,27,8/25/2013,94131
80,San Jose Government Center,37.352601,-121.90573300000001,15,12/31/2013,95035
82,Broadway St at Battery St,37.798541,-122.40086200000002,15,1/22/2014,94132
83,Mezes Park,37.491269,-122.23623400000001,15,2/20/2014,94063
