Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type
109126,11/26/2013 18:59,Mountain View Caltrain Station,28,11/26/2013 19:03,Mountain View City Hall,27,16,Subscriber
109127,11/26/2013 19:01,Harry Bridges Plaza (Ferry Building),50,11/26/2013 19:06,Spear at Folsom,49,589,Subscriber
109128,11/26/2013 19:02,San Francisco Caltrain (Townsend at 4th),70,11/26/2013 19:07,Embarcadero at Bryant,54,508,Subscriber
109129,11/26/2013 19:02,Mechanics Plaza (Market at Battery),75,11/26/2013 19:08,Spear at Folsom,49,344,Subscriber
109130,11/26/2013 19:04,Townsend at 7th,65,11/26/2013 19:12,2nd at Townsend,61,534,Subscriber
109131,11/26/2013 19:05,Market at 4th,76,11/26/2013 19:11,Market at 10th,67,548,Subscriber
109132,11/26/2013 19:05,Embarcadero at Folsom,51,11/26/2013 19:11,2nd at Townsend,61,436,Subscriber
109133,11/26/2013 19:07,Townsend at 7th,65,11/26/2013 19:15,Civic Center BART (7th at Market),72,373,Subscriber
109134,11/26/2013 19:08,San Francisco Caltrain 2 (330 Townsend),69,11/26/2013 19:17,Powell Street BART,39,333,Subscriber
109135,11/26/2013 19:11,Market at Sansome,77,11/26/2013 19:21,South Van Ness at Market,66,259,Subscriber
109136,11/26/2013 19:11,California Ave Caltrain Station,36,11/26/2013 19:14,Park at Olive,38,206,Customer
109137,11/26/2013 19:12,Townsend at 7th,65,11/26/2013 19:27,Market at 4th,76,535,Subscriber
109138,11/26/2013 19:12,Civic Center BART (7th at Market),72,11/26/2013 19:22,Townsend at 7th,65,563,Subscriber
109142,11/26/2013 19:15,Market at 4th,76,11/26/2013 19:22,Beale at Market,56,575,Subscriber
109144,11/26/2013 19:15,San Jose Diridon Caltrain Station,2,11/26/2013 19:27,SJSU - San Salvador at 9th,16,664,Subscriber
109145,11/26/2013 19:15,San Jose Diridon Caltrain Station,2,11/26/2013 19:28,Japantown,9,293,Subscriber
109146,11/26/2013 19:18,Commercial at Montgomery,45,11/26/2013 19:31,2nd at Folsom,62,397,Subscriber
109147,11/26/2013 19:19,Howard at 2nd,63,11/26/2013 19:25,2nd at Townsend,61,559,Subscriber
109149,11/26/2013 19:21,Embarcadero at Sansome,60,11/26/2013 19:31,Steuart at Market,74,506,Subscriber
109150,11/26/2013 19:23,Temporary Transbay Terminal (Howard at Beale),55,11/26/2013 19:27,Clay at Battery,41,456,Subscriber
109151,11/26/2013 19:24,2nd at Townsend,61,11/26/2013 19:36,Embarcadero at Sansome,60,581,Subscriber
109152,11/26/2013 19:26,Howard at 2nd,63,11/26/2013 19:31,2nd at South Park,64,585,Subscriber
109153,11/26/2013 19:26,Powell Street BART,39,11/26/2013 19:32,South Van Ness at Market,66,435,Subscriber
109155,11/26/2013 19:27,San Francisco Caltrain (Townsend at 4th),70,11/26/2013 19:30,2nd at Townsend,61,384,Subscriber
109156,11/26/2013 19:29,San Francisco Caltrain 2 (330 Townsend),69,11/26/2013 19:38,Civic Center BART (7th at Market),72,400,Subscriber
109157,11/26/2013 19:29,San Francisco Caltrain (Townsend at 4th),70,11/26/2013 19:34,Embarcadero at Bryant,54,414,Subscriber
109159,11/26/2013 19:32,2nd at South Park,64,11/26/2013 19:39,Townsend at 7th,65,466,Subscriber
109161,11/26/2013 19:32,Embarcadero at Sansome,60,11/26/2013 19:40,Harry Bridges Plaza (Ferry Building),50,329,Subscriber
109162,11/26/2013 19:33,2nd at Folsom,62,11/26/2013 19:41,Market at 4th,76,601,Subscriber
109163,11/26/2013 19:34,Market at 4th,76,11/26/2013 19:40,Temporary Transbay Terminal (Howard at Beale),55,320,Subscriber
109164,11/26/2013 19:34,2nd at Folsom,62,11/26/2013 19:41,5th at Howard,57,402,Subscriber
109165,11/26/2013 19:34,2nd at Folsom,62,11/26/2013 19:41,5th at Howard,57,584,Subscriber
109169,11/26/2013 19:37,Redwood City Caltrain Station,22,11/26/2013 19:44,Redwood City Public Library,24,83,Subscriber
109170,11/26/2013 19:41,Park at Olive,38,11/26/2013 19:54,Palo Alto Caltrain Station,34,62,Customer
109171,11/26/2013 19:41,Mountain View City Hall,27,11/26/2013 19:45,Mountain View Caltrain Station,28,16,Subscriber
109173,11/26/2013 19:44,Market at 4th,76,11/26/2013 19:53,Davis at Jackson,42,354,Subscriber
109174,11/26/2013 19:47,Harry Bridges Plaza (Ferry Building),50,11/26/2013 19:54,Embarcadero at Sansome,60,329,Subscriber
109175,11/26/2013 19:46,San Antonio Caltrain Station,29,11/26/2013 19:53,Rengstorff Avenue / California Street,33,688,Subscriber
109181,11/26/2013 19:55,Market at 4th,76,11/26/2013 19:58,Howard at 2nd,63,311,Subscriber
109182,11/26/2013 19:55,SJSU 4th at San Carlos,12,11/26/2013 20:01,Santa Clara at Almaden,4,118,Subscriber
109183,11/26/2013 19:56,5th at Howard,57,11/26/2013 20:06,2nd at South Park,64,444,Subscriber
109186,11/26/2013 20:00,Townsend at 7th,65,11/26/2013 20:13,Golden Gate at Polk,59,563,Subscriber
109187,11/26/2013 20:00,San Francisco Caltrain (Townsend at 4th),70,11/26/2013 20:05,2nd at Townsend,61,488,Subscriber
109188,11/26/2013 20:03,Market at 4th,76,11/26/2013 20:10,2nd at Folsom,62,601,Subscriber
109189,11/26/2013 20:03,Market at 4th,76,11/26/2013 20:10,2nd at Folsom,62,348,Subscriber
109190,11/26/2013 20:05,Townsend at 7th,65,11/26/2013 20:09,San Francisco Caltrain (Townsend at 4th),70,466,Subscriber
109191,11/26/2013 20:06,Commercial at Montgomery,45,11/26/2013 20:11,Embarcadero at Sansome,60,278,Customer
109192,11/26/2013 20:06,2nd at South Park,64,11/26/2013 20:16,2nd at South Park,64,325,Subscriber
109193,11/26/2013 20:12,Yerba Buena Center of the Arts (3rd @ Howard),68,11/26/2013 20:19,Davis at Jackson,42,260,Subscriber
109194,11/26/2013 20:12,Commercial at Montgomery,45,11/26/2013 20:17,Market at 4th,76,463,Subscriber
109195,11/26/2013 20:18,5th at Howard,57,11/26/2013 20:27,Clay at Battery,41,402,Subscriber
109198,11/26/2013 20:22,Market at 4th,76,11/26/2013 20:32,San Francisco Caltrain (Townsend at 4th),70,351,Subscriber
109199,11/26/2013 20:31,Townsend at 7th,65,11/26/2013 20:35,San Francisco Caltrain (Townsend at 4th),70,602,Subscriber
109200,11/26/2013 20:33,Market at Sansome,77,11/26/2013 20:36,Commercial at Montgomery,45,600,Subscriber
109201,11/26/2013 20:34,Harry Bridges Plaza (Ferry Building),50,11/26/2013 20:40,Spear at Folsom,49,620,Subscriber
109202,11/26/2013 20:35,Mechanics Plaza (Market at Battery),75,11/26/2013 20:41,5th at Howard,57,558,Subscriber
109203,11/26/2013 20:36,Spear at Folsom,49,11/26/2013 20:46,Powell Street BART,39,431,Subscriber
109206,11/26/2013 20:40,San Francisco Caltrain 2 (330 Townsend),69,11/26/2013 20:43,Townsend at 7th,65,309,Subscriber
109210,11/26/2013 20:43,SJSU 4th at San Carlos,12,11/26/2013 20:48,SJSU - San Salvador at 9th,16,119,Subscriber
109211,11/26/2013 20:43,Market at 4th,76,11/26/2013 20:51,Harry Bridges Plaza (Ferry Building),50,594,Subscriber
109212,11/26/2013 20:47,Market at Sansome,77,11/26/2013 20:56,Embarcadero at Bryant,54,561,Subscriber
109213,11/26/2013 20:49,Market at 10th,67,11/26/2013 20:58,Yerba Buena Center of the Arts (3rd @ Howard),68,469,Subscriber
109214,11/26/2013 20:54,Cowper at University,37,11/26/2013 20:57,Palo Alto Caltrain Station,34,71,Subscriber
109215,11/26/2013 20:54,Paseo de San Antonio,7,11/26/2013 21:03,SJSU - San Salvador at 9th,16,159,Subscriber
109224,11/26/2013 21:07,Townsend at 7th,65,11/26/2013 21:12,San Francisco Caltrain (Townsend at 4th),70,309,Subscriber
109225,11/26/2013 21:09,Embarcadero at Sansome,60,11/26/2013 21:15,Harry Bridges Plaza (Ferry Building),50,562,Subscriber
109226,11/26/2013 21:10,Market at 4th,76,11/26/2013 21:20,Townsend at 7th,65,632,Subscriber
109231,11/26/2013 21:15,Market at 10th,67,11/26/2013 21:28,Grant Avenue at Columbus Avenue,73,286,Subscriber
109232,11/26/2013 21:18,Market at Sansome,77,11/26/2013 21:28,San Francisco Caltrain 2 (330 Townsend),69,482,Subscriber
109234,11/26/2013 21:30,Embarcadero at Bryant,54,11/26/2013 21:42,Embarcadero at Sansome,60,271,Subscriber
109236,11/26/2013 21:49,Embarcadero at Sansome,60,11/26/2013 21:55,Davis at Jackson,42,634,Subscriber
109240,11/26/2013 22:00,Mountain View Caltrain Station,28,11/26/2013 22:04,Mountain View City Hall,27,241,Subscriber
109241,11/26/2013 22:01,San Francisco Caltrain (Townsend at 4th),70,11/26/2013 22:13,Grant Avenue at Columbus Avenue,73,288,Subscriber
109242,11/26/2013 22:05,Powell at Post (Union Square),71,11/26/2013 22:12,Mechanics Plaza (Market at Battery),75,570,Subscriber
109243,11/26/2013 22:11,Market at 10th,67,11/26/2013 22:18,Post at Kearney,47,330,Subscriber
109244,11/26/2013 22:11,San Jose Diridon Caltrain Station,2,11/26/2013 22:23,Paseo de San Antonio,7,152,Subscriber
109245,11/26/2013 22:15,Townsend at 7th,65,11/26/2013 22:29,Townsend at 7th,65,515,Subscriber
109246,11/26/2013 22:24,Powell Street BART,39,11/26/2013 22:30,Commercial at Montgomery,45,289,Subscriber
109247,11/26/2013 22:26,Townsend at 7th,65,11/26/2013 22:30,San Francisco Caltrain (Townsend at 4th),70,632,Subscriber
109248,11/26/2013 22:36,Post at Kearney,47,11/26/2013 22:42,5th at Howard,57,607,Subscriber
109249,11/26/2013 22:59,Golden Gate at Polk,59,11/26/2013 23:02,Civic Center BART (7th at Market),72,510,Subscriber
109250,11/26/2013 23:06,San Francisco Caltrain 2 (330 Townsend),69,11/26/2013 23:09,Townsend at 7th,65,621,Subscriber
109251,11/26/2013 23:10,Townsend at 7th,65,11/26/2013 23:18,Civic Center BART (7th at Market),72,332,Subscriber
109252,11/26/2013 23:12,Powell Street BART,39,11/26/2013 23:20,2nd at South Park,64,347,Subscriber
109253,11/26/2013 23:33,Powell Street BART,39,11/26/2013 23:42,San Francisco Caltrain 2 (330 Townsend),69,520,Subscriber
109254,11/26/2013 23:33,Powell Street BART,39,11/26/2013 23:43,San Francisco Caltrain 2 (330 Townsend),69,340,Subscriber
