Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,landmark
8/29/2013,74.0,68.0,61.0,61,58,56,93,75,57,30.07,30.02,29.97,10,10,10,23,11,28.0,0.0,4,,286,San Francisco
8/30/2013,78.0,69.0,60.0,61,58,56,90,70,50,30.05,30.0,29.93,10,10,7,29,13,35.0,0.0,2,,291,San Francisco
8/31/2013,71.0,64.0,57.0,57,56,54,93,75,57,30.0,29.96,29.92,10,10,10,26,15,31.0,0.0,4,,284,San Francisco
9/1/2013,74.0,66.0,58.0,60,56,53,87,68,49,29.96,29.93,29.91,10,10,10,25,13,29.0,0.0,4,,284,San Francisco
9/2/2013,75.0,69.0,62.0,61,60,58,93,77,61,29.97,29.94,29.9,10,10,6,23,12,30.0,0.0,6,,277,San Francisco
9/3/2013,73.0,67.0,60.0,59,56,51,84,65,46,30.02,29.98,29.95,10,10,10,24,15,31.0,0.0,2,,276,San Francisco
9/4/2013,74.0,68.0,61.0,59,57,56,90,72,53,30.05,30.01,29.97,10,10,10,29,19,35.0,0.0,4,,269,San Francisco
9/5/2013,72.0,66.0,60.0,57,56,54,90,74,57,30.04,30.0,29.97,10,10,10,31,21,37.0,0.0,3,,270,San Francisco
9/6/2013,85.0,71.0,56.0,57,51,45,86,58,29,30.0,29.92,29.83,10,10,10,24,8,28.0,0.0,0,,287,San Francisco
9/7/2013,88.0,73.0,58.0,64,54,46,86,59,31,29.88,29.85,29.81,10,10,10,21,8,25.0,0.0,1,,305,San Francisco
9/8/2013,74.0,65.0,56.0,58,54,52,86,70,53,29.88,29.83,29.76,10,10,10,26,11,31.0,0.0,2,,299,San Francisco
9/9/2013,76.0,66.0,55.0,58,55,52,90,70,50,29.82,29.77,29.72,10,10,10,26,11,30.0,0.0,1,,303,San Francisco
9/10/2013,74.0,66.0,57.0,59,56,54,93,73,53,29.91,29.82,29.76,10,10,10,17,8,21.0,0.0,1,,230,San Francisco
9/11/2013,74.0,68.0,62.0,57,55,54,78,68,57,30.0,29.97,29.91,10,10,10,18,9,23.0,0.0,5,,219,San Francisco
9/12/2013,71.0,65.0,59.0,58,57,55,84,73,61,29.99,29.95,29.91,10,10,9,25,11,30.0,0.0,7,Fog,268,San Francisco
9/13/2013,66.0,62.0,57.0,55,54,54,93,80,67,29.92,29.87,29.8,10,10,7,30,15,37.0,0.0,6,,271,San Francisco
9/14/2013,66.0,62.0,57.0,55,54,53,87,77,67,29.86,29.81,29.77,10,10,9,25,16,33.0,0.0,7,,265,San Francisco
9/15/2013,73.0,66.0,58.0,59,55,52,90,72,53,29.88,29.85,29.81,10,10,6,23,13,26.0,0.0,5,,276,San Francisco
9/16/2013,71.0,65.0,59.0,58,55,53,90,74,57,29.91,29.87,29.81,10,10,6,31,16,39.0,0.0,3,,274,San Francisco
9/17/2013,68.0,63.0,57.0,55,53,50,86,72,58,29.91,29.87,29.84,10,10,10,39,22,51.0,0.0,3,,270,San Francisco
9/18/2013,78.0,66.0,54.0,55,49,47,78,60,41,29.92,29.88,29.85,10,10,10,25,10,30.0,0.0,1,,278,San Francisco
9/19/2013,80.0,67.0,54.0,56,50,46,77,58,38,29.87,29.82,29.76,10,10,10,26,10,33.0,0.0,0,,297,San Francisco
9/20/2013,73.0,65.0,56.0,59,56,50,87,70,53,29.88,29.84,29.79,10,10,9,17,10,23.0,0.0,6,,248,San Francisco
9/21/2013,68.0,63.0,58.0,59,56,53,90,75,59,29.91,29.85,29.82,10,9,2,24,12,28.0,0.23,6,Rain,218,San Francisco
9/22/2013,70.0,63.0,55.0,55,53,49,93,70,47,30.02,29.97,29.92,10,10,10,29,10,35.0,0.0,1,,292,San Francisco
9/23/2013,78.0,68.0,57.0,58,54,50,78,64,50,30.03,29.99,29.95,10,10,10,24,9,30.0,0.0,0,,294,San Francisco
9/24/2013,71.0,65.0,58.0,54,52,50,78,66,53,30.01,29.97,29.93,10,10,10,36,19,43.0,0.0,1,,277,San Francisco
9/25/2013,67.0,62.0,56.0,51,47,45,83,64,45,29.95,29.91,29.84,10,10,10,35,20,45.0,0.0,1,,281,San Francisco
9/26/2013,71.0,62.0,53.0,46,43,38,72,53,33,29.99,29.92,29.85,10,10,10,24,11,29.0,0.0,0,,281,San Francisco
9/27/2013,78.0,66.0,54.0,47,41,34,67,46,25,30.11,30.06,30.0,10,10,10,23,7,28.0,0.0,0,,279,San Francisco
9/20/2013,73.0,65.0,56.0,59,56,50,87,70,53,29.88,29.84,29.79,10,10,9,17,10,23.0,0.0,6,,248,San Francisco
9/21/2013,68.0,63.0,58.0,59,56,53,90,75,59,29.91,29.85,29.82,10,9,2,24,12,28.0,0.23,6,Rain,218,San Francisco
9/22/2013,70.0,63.0,55.0,55,53,49,93,70,47,30.02,29.97,29.92,10,10,10,29,10,35.0,0.0,1,,292,San Francisco
9/23/2013,78.0,68.0,57.0,58,54,50,78,64,50,30.03,29.99,29.95,10,10,10,24,9,30.0,0.0,0,,294,San Francisco
9/24/2013,71.0,65.0,58.0,54,52,50,78,66,53,30.01,29.97,29.93,10,10,10,36,19,43.0,0.0,1,,277,San Francisco
9/25/2013,67.0,62.0,56.0,51,47,45,83,64,45,29.95,29.91,29.84,10,10,10,35,20,45.0,0.0,1,,281,San Francisco
9/26/2013,71.0,62.0,53.0,46,43,38,72,53,33,29.99,29.92,29.85,10,10,10,24,11,29.0,0.0,0,,281,San Francisco
9/27/2013,78.0,66.0,54.0,47,41,34,67,46,25,30.11,30.06,30.0,10,10,10,23,7,28.0,0.0,0,,279,San Francisco
