Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,landmark
11/11/2013,65.0,59.0,53.0,52,49,46,89,71,52,30.18,30.14,30.1,9,7,4,8,2,10.0,0,3,,29,Palo Alto
11/12/2013,70.0,62.0,53.0,52,48,44,80,60,40,30.28,30.25,30.18,10,10,9,12,3,15.0,0,0,,328,Palo Alto
11/13/2013,74.0,62.0,49.0,54,50,43,100,73,46,30.28,30.19,30.14,10,10,10,12,3,20.0,0,1,,335,Palo Alto
11/14/2013,61.0,56.0,50.0,53,51,46,100,86,72,30.13,30.04,29.93,10,8,5,13,3,29.0,0,4,,360,Palo Alto
11/15/2013,66.0,56.0,46.0,48,44,38,86,62,37,29.91,29.83,29.76,10,10,10,16,3,18.0,0,0,,355,Palo Alto
11/16/2013,63.0,54.0,44.0,47,43,38,83,66,48,29.96,29.88,29.81,10,10,10,14,4,17.0,0,0,,180,Palo Alto
11/17/2013,62.0,53.0,43.0,47,44,41,93,72,51,30.12,30.05,29.96,10,10,10,13,3,16.0,0,0,,21,Palo Alto
11/18/2013,60.0,52.0,44.0,47,45,42,92,74,55,30.17,30.13,30.11,10,10,10,12,3,14.0,0,0,,4,Palo Alto
11/19/2013,64.0,57.0,49.0,56,49,45,93,77,60,30.13,30.05,29.98,10,10,8,10,5,15.0,0.17,6,Rain,138,Palo Alto
11/20/2013,65.0,59.0,53.0,57,54,51,93,83,73,29.96,29.91,29.87,10,9,1,14,5,17.0,0.42,7,Rain,2,Palo Alto
11/21/2013,63.0,56.0,49.0,50,40,28,96,63,29,30.02,29.96,29.92,10,10,6,18,6,24.0,0,5,Rain,326,Palo Alto
11/22/2013,70.0,59.0,47.0,34,24,14,50,32,14,30.06,29.99,29.92,10,10,10,12,3,14.0,0,0,,315,Palo Alto
11/23/2013,65.0,53.0,41.0,41,36,30,71,50,28,30.13,30.05,29.99,10,10,10,8,1,17.0,0,0,,325,Palo Alto
11/24/2013,64.0,53.0,41.0,43,40,37,83,60,37,30.27,30.2,30.13,10,10,10,8,2,9.0,0,0,,343,Palo Alto
11/25/2013,65.0,53.0,41.0,46,41,37,86,65,44,30.35,30.29,30.27,10,10,7,9,2,20.0,0,0,,339,Palo Alto
11/26/2013,62.0,53.0,43.0,47,43,39,86,68,49,30.27,30.17,30.05,10,10,8,9,1,10.0,0,0,,342,Palo Alto
11/27/2013,63.0,54.0,44.0,47,44,40,89,70,51,30.04,29.93,29.86,10,8,5,9,1,15.0,0,0,,338,Palo Alto
11/28/2013,68.0,57.0,46.0,47,44,41,86,63,40,30.1,29.98,29.89,10,8,6,9,2,12.0,0,0,,338,Palo Alto
11/29/2013,68.0,56.0,43.0,47,42,39,86,62,37,30.24,30.16,30.11,10,10,10,9,1,10.0,0,0,,328,Palo Alto
11/30/2013,67.0,55.0,43.0,49,43,38,83,63,42,30.29,30.26,30.21,10,10,8,10,1,25.0,0,0,,340,Palo Alto
12/1/2013,67.0,54.0,41.0,47,43,39,92,68,44,30.36,30.29,30.24,10,10,8,8,1,10.0,0,0,,336,Palo Alto
12/2/2013,63.0,53.0,42.0,52,46,40,89,75,60,30.25,30.13,30.01,10,10,6,13,3,16.0,0,2,,320,Palo Alto
12/3/2013,56.0,50.0,43.0,50,39,31,83,63,43,29.99,29.94,29.88,10,10,10,17,6,22.0,0,3,,298,Palo Alto
12/4/2013,52.0,44.0,36.0,31,25,18,64,45,26,30.11,30.05,29.97,10,10,10,8,3,21.0,0,0,,303,Palo Alto
12/5/2013,51.0,40.0,29.0,25,20,14,70,46,22,30.19,30.15,30.11,10,10,10,7,2,14.0,0,0,,341,Palo Alto
12/6/2013,56.0,45.0,33.0,47,31,22,77,58,38,30.22,30.13,29.95,10,10,5,13,6,20.0,0.08,4,Rain,167,Palo Alto
12/7/2013,51.0,43.0,34.0,46,30,24,86,63,39,30.27,30.13,29.95,10,10,10,18,7,25.0,0.08,1,,294,Palo Alto
12/8/2013,46.0,39.0,32.0,31,24,19,82,60,37,30.35,30.29,30.25,10,10,10,24,6,28.0,0,0,,349,Palo Alto
12/9/2013,51.0,40.0,29.0,25,19,13,64,45,26,30.43,30.39,30.34,10,10,10,18,4,23.0,0,0,,5,Palo Alto
12/10/2013,53.0,41.0,29.0,30,26,22,76,57,38,30.42,30.31,30.23,10,10,10,7,1,10.0,0,0,,328,Palo Alto
12/11/2013,56.0,44.0,32.0,32,29,26,76,56,35,30.27,30.22,30.19,10,10,10,7,1,18.0,0,0,,343,Palo Alto
12/12/2013,59.0,46.0,33.0,37,31,27,82,58,33,30.29,30.24,30.19,10,9,7,6,1,29.0,0,0,,324,Palo Alto
12/13/2013,60.0,48.0,35.0,42,36,31,85,65,44,30.36,30.3,30.26,10,9,8,14,2,31.0,0,2,,314,Palo Alto
12/14/2013,61.0,48.0,34.0,40,34,31,85,61,36,30.42,30.36,30.33,10,10,10,7,1,15.0,0,0,,351,Palo Alto
12/15/2013,61.0,48.0,35.0,38,35,31,85,62,39,30.38,30.31,30.26,10,9,7,7,1,17.0,0,0,,356,Palo Alto
12/16/2013,67.0,53.0,38.0,39,35,33,85,57,29,30.25,30.19,30.14,10,9,7,7,1,26.0,0,0,,65,Palo Alto
