title,genre,userId,rating,year
Daybreakers (2010),Action,18,3.5,(2010)
Daybreakers (2010),Action,177,2.5,(2010)
Daybreakers (2010),Action,274,3.5,(2010)
Daybreakers (2010),Action,381,3.5,(2010)
Daybreakers (2010),Action,534,4.0,(2010)
Daybreakers (2010),Action,610,3.5,(2010)
Leap Year (2010),Comedy,21,3.0,(2010)
Leap Year (2010),Comedy,89,2.0,(2010)
Leap Year (2010),Comedy,143,3.0,(2010)
Leap Year (2010),Comedy,298,0.5,(2010)
Leap Year (2010),Comedy,564,3.5,(2010)
"Book of Eli, The (2010)",Action,18,3.5,(2010)
"Book of Eli, The (2010)",Action,21,3.5,(2010)
"Book of Eli, The (2010)",Action,119,4.5,(2010)
"Book of Eli, The (2010)",Action,152,3.5,(2010)
"Book of Eli, The (2010)",Action,154,2.5,(2010)
"Book of Eli, The (2010)",Action,256,4.0,(2010)
"Book of Eli, The (2010)",Action,274,3.5,(2010)
"Book of Eli, The (2010)",Action,292,3.5,(2010)
"Book of Eli, The (2010)",Action,305,2.0,(2010)
"Book of Eli, The (2010)",Action,317,2.0,(2010)
"Book of Eli, The (2010)",Action,318,3.5,(2010)
"Book of Eli, The (2010)",Action,352,3.5,(2010)
"Book of Eli, The (2010)",Action,448,3.5,(2010)
"Book of Eli, The (2010)",Action,582,3.5,(2010)
"Book of Eli, The (2010)",Action,599,2.5,(2010)
"Book of Eli, The (2010)",Action,610,3.5,(2010)
Legion (2010),Action,111,2.0,(2010)
Legion (2010),Action,249,3.0,(2010)
Legion (2010),Action,274,3.5,(2010)
When in Rome (2010),Comedy,68,1.0,(2010)
When in Rome (2010),Comedy,111,4.0,(2010)
When in Rome (2010),Comedy,509,2.0,(2010)
When in Rome (2010),Comedy,563,3.0,(2010)
Temple Grandin (2010),Drama,105,4.5,(2010)
Temple Grandin (2010),Drama,305,4.5,(2010)
Temple Grandin (2010),Drama,562,4.5,(2010)
Temple Grandin (2010),Drama,563,4.0,(2010)
Valentine's Day (2010),Comedy,10,3.0,(2010)
Valentine's Day (2010),Comedy,177,3.0,(2010)
Valentine's Day (2010),Comedy,563,2.0,(2010)
Shutter Island (2010),Drama,2,4.0,(2010)
Shutter Island (2010),Drama,18,4.5,(2010)
Shutter Island (2010),Drama,25,4.5,(2010)
Shutter Island (2010),Drama,50,2.5,(2010)
Shutter Island (2010),Drama,52,4.5,(2010)
Shutter Island (2010),Drama,62,4.0,(2010)
Shutter Island (2010),Drama,63,4.0,(2010)
Shutter Island (2010),Drama,65,4.5,(2010)
Shutter Island (2010),Drama,68,3.0,(2010)
Shutter Island (2010),Drama,73,4.5,(2010)
Shutter Island (2010),Drama,76,4.0,(2010)
Shutter Island (2010),Drama,80,4.5,(2010)
Shutter Island (2010),Drama,98,5.0,(2010)
Shutter Island (2010),Drama,105,5.0,(2010)
Shutter Island (2010),Drama,111,3.5,(2010)
Shutter Island (2010),Drama,119,4.0,(2010)
Shutter Island (2010),Drama,122,5.0,(2010)
Shutter Island (2010),Drama,139,1.0,(2010)
Shutter Island (2010),Drama,177,5.0,(2010)
Shutter Island (2010),Drama,209,4.5,(2010)
Shutter Island (2010),Drama,211,2.0,(2010)
Shutter Island (2010),Drama,222,3.5,(2010)
Shutter Island (2010),Drama,227,3.5,(2010)
Shutter Island (2010),Drama,233,4.0,(2010)
Shutter Island (2010),Drama,247,4.0,(2010)
Shutter Island (2010),Drama,249,5.0,(2010)
Shutter Island (2010),Drama,274,4.5,(2010)
Shutter Island (2010),Drama,279,4.0,(2010)
Shutter Island (2010),Drama,298,2.5,(2010)
Shutter Island (2010),Drama,305,3.5,(2010)
