Wii Sports,"{'release_date': '2006-11-19', 'metacritic_score': None}"
Super Mario Bros.,"{'release_date': '1985-09-13', 'metacritic_score': None}"
Mario Kart Wii,"{'release_date': '2008-04-27', 'metacritic_score': None}"
Wii Sports Resort,"{'release_date': '2009-07-26', 'metacritic_score': None}"
Pokemon Red/Pokemon Blue,"{'release_date': '1996-02-27', 'metacritic_score': None}"
Tetris,"{'release_date': '1984-06-06', 'metacritic_score': None}"
New Super Mario Bros.,"{'release_date': '2006-05-15', 'metacritic_score': None}"
Wii Play,"{'release_date': '2007-02-12', 'metacritic_score': None}"
New Super Mario Bros. Wii,"{'release_date': '2009-11-15', 'metacritic_score': None}"
Duck Hunt,"{'release_date': '1984-04-21', 'metacritic_score': None}"
Nintendogs,"{'release_date': '2005-04-21', 'metacritic_score': None}"
Mario Kart DS,"{'release_date': '2005-11-14', 'metacritic_score': None}"
Pokemon Gold/Pokemon Silver,"{'release_date': '1999-11-21', 'metacritic_score': None}"
Wii Fit,"{'release_date': '2008-05-21', 'metacritic_score': None}"
Wii Fit Plus,"{'release_date': '2009-10-04', 'metacritic_score': None}"
Kinect Adventures!,"{'release_date': '2010-11-04', 'metacritic_score': None}"
Grand Theft Auto V,"{'release_date': '2013-09-17', 'metacritic_score': 96}"
Grand Theft Auto: San Andreas,"{'release_date': '2004-10-26', 'metacritic_score': 93}"
Super Mario World,"{'release_date': '1990-11-21', 'metacritic_score': None}"
Brain Age: Train Your Brain in Minutes a Day,"{'release_date': '2006-04-17', 'metacritic_score': None}"
Pokemon Diamond/Pokemon Pearl,"{'release_date': '2007-04-22', 'metacritic_score': None}"
Super Mario Land,"{'release_date': '1989-04-21', 'metacritic_score': None}"
Super Mario Bros. 3,"{'release_date': '1988-10-23', 'metacritic_score': None}"
Grand Theft Auto: Vice City,"{'release_date': '2002-10-27', 'metacritic_score': 94}"
Pokemon Ruby/Pokemon Sapphire,"{'release_date': '2002-11-21', 'metacritic_score': 76}"
Pokemon Black/Pokemon White,"{'release_date': '2011-03-06', 'metacritic_score': None}"
Brain Age 2: More Training in Minutes a Day,"{'release_date': '2007-08-20', 'metacritic_score': None}"
Gran Turismo 3: A-Spec,"{'release_date': '2001-04-28', 'metacritic_score': None}"
Call of Duty: Modern Warfare 3,"{'release_date': '2011-11-07', 'metacritic_score': None}"
Pokémon Yellow: Special Pikachu Edition,"{'release_date': '1999-10-01', 'metacritic_score': None}"
Call of Duty: Black Ops,"{'release_date': '2010-11-08', 'metacritic_score': 81}"
Pokemon X/Pokemon Y,"{'release_date': '2013-10-12', 'metacritic_score': 88}"
Call of Duty: Black Ops 3,"{'release_date': '2015-11-05', 'metacritic_score': 73}"
Call of Duty: Black Ops II,"{'release_date': '2012-11-12', 'metacritic_score': 74}"
Call of Duty: Modern Warfare 2,"{'release_date': '2009-11-10', 'metacritic_score': 86}"
Grand Theft Auto III,"{'release_date': '2001-10-22', 'metacritic_score': 93}"
Super Smash Bros. Brawl,"{'release_date': '2008-03-09', 'metacritic_score': None}"
Animal Crossing: Wild World,"{'release_date': '2005-12-05', 'metacritic_score': None}"
Mario Kart 7,"{'release_date': '2011-12-04', 'metacritic_score': None}"
Halo 3,"{'release_date': '2007-09-25', 'metacritic_score': None}"
Pokemon HeartGold/Pokemon SoulSilver,"{'release_date': '2010-03-14', 'metacritic_score': None}"
Super Mario 64,"{'release_date': '1996-06-23', 'metacritic_score': None}"
Gran Turismo 4,"{'release_date': '2004-12-28', 'metacritic_score': 89}"
Super Mario Galaxy,"{'release_date': '2007-11-12', 'metacritic_score': None}"
Pokemon Omega Ruby/Pokemon Alpha Sapphire,"{'release_date': '2014-11-21', 'metacritic_score': 83}"
Super Mario Land 2: 6 Golden Coins,"{'release_date': '1992-10-21', 'metacritic_score': None}"
Grand Theft Auto IV,"{'release_date': '2008-04-29', 'metacritic_score': 90}"
Gran Turismo,"{'release_date': '1997-12-22', 'metacritic_score': None}"
Super Mario 3D Land,"{'release_date': '2011-11-13', 'metacritic_score': None}"
Gran Turismo 5,"{'release_date': '2010-11-24', 'metacritic_score': None}"
Super Mario All-Stars,"{'release_date': '1993-07-14', 'metacritic_score': None}"
Pokemon FireRed/Pokemon LeafGreen,"{'release_date': '2004-01-29', 'metacritic_score': None}"
Just Dance 3,"{'release_date': '2011-10-07', 'metacritic_score': None}"
Call of Duty: Ghosts,"{'release_date': '2013-11-05', 'metacritic_score': 68}"
Halo: Reach,"{'release_date': '2010-09-14', 'metacritic_score': None}"
Mario Kart 64,"{'release_date': '1996-12-14', 'metacritic_score': None}"
New Super Mario Bros. 2,"{'release_date': '2012-07-28', 'metacritic_score': None}"
Halo 4,"{'release_date': '2012-11-06', 'metacritic_score': None}"
Final Fantasy VII,"{'release_date': '1997-01-31', 'metacritic_score': None}"
Just Dance 2,"{'release_date': '2010-10-12', 'metacritic_score': None}"
Gran Turismo 2,"{'release_date': '1999-12-11', 'metacritic_score': None}"
Call of Duty 4: Modern Warfare,"{'release_date': '2007-11-05', 'metacritic_score': 92}"
Donkey Kong Country,"{'release_date': '1994-11-21', 'metacritic_score': None}"
Minecraft,"{'release_date': '2009-05-10', 'metacritic_score': None}"
Animal Crossing: New Leaf,"{'release_date': '2012-11-08', 'metacritic_score': None}"
Mario Party DS,"{'release_date': '2007-11-19', 'metacritic_score': None}"
The Elder Scrolls V: Skyrim,"{'release_date': '2011-11-11', 'metacritic_score': None}"
Super Mario Kart,"{'release_date': '1993-08-27', 'metacritic_score': None}"
FIFA 16,"{'release_date': '2015-09-22', 'metacritic_score': None}"
Wii Party,"{'release_date': '2010-10-03', 'metacritic_score': None}"
Halo 2,"{'release_date': '2004-11-09', 'metacritic_score': None}"
Mario Party 8,"{'release_date': '2007-05-29', 'metacritic_score': None}"
Pokemon Black 2/Pokemon White 2,"{'release_date': '2012-10-07', 'metacritic_score': None}"
FIFA Soccer 13,"{'release_date': '2012-09-25', 'metacritic_score': None}"
The Sims 3,"{'release_date': '2009-06-02', 'metacritic_score': 86}"
GoldenEye 007,"{'release_date': '1997-08-23', 'metacritic_score': None}"
Mario & Sonic at the Olympic Games,"{'release_date': '2018-07-17', 'metacritic_score': None}"
Final Fantasy X,"{'release_date': '2001-07-19', 'metacritic_score': None}"
Final Fantasy VIII,"{'release_date': '1999-01-11', 'metacritic_score': None}"
Pokémon Platinum Version,"{'release_date': '2009-03-22', 'metacritic_score': None}"
Pac-Man,"{'release_date': '1980-05-22', 'metacritic_score': None}"
Grand Theft Auto: Liberty City Stories,"{'release_date': '2005-10-24', 'metacritic_score': None}"
Super Mario Galaxy 2,"{'release_date': '2010-05-23', 'metacritic_score': None}"
Star Wars Battlefront (2015),"{'release_date': '2017-11-17', 'metacritic_score': 74}"
Call of Duty: Advanced Warfare,"{'release_date': '2014-10-03', 'metacritic_score': 78}"
The Legend of Zelda: Ocarina of Time,"{'release_date': '1998-11-21', 'metacritic_score': None}"
Crash Bandicoot 2: Cortex Strikes Back,"{'release_date': '1997-11-01', 'metacritic_score': None}"
Super Mario Bros. 2,"{'release_date': '1988-10-09', 'metacritic_score': None}"
Super Smash Bros. for Wii U and 3DS,"{'release_date': '2014-09-13', 'metacritic_score': None}"
Call of Duty: World at War,"{'release_date': '2008-11-05', 'metacritic_score': 83}"
Battlefield 3,"{'release_date': '2011-10-25', 'metacritic_score': None}"
The Legend of Zelda: Twilight Princess,"{'release_date': '2006-11-19', 'metacritic_score': None}"
Just Dance,"{'release_date': '2009-11-17', 'metacritic_score': None}"
Need for Speed Underground,"{'release_date': '2003-06-17', 'metacritic_score': None}"
Tekken 3,"{'release_date': '1997-03-20', 'metacritic_score': None}"
Crash Bandicoot 3: Warped,"{'release_date': '1998-10-31', 'metacritic_score': None}"
Super Smash Bros. Melee,"{'release_date': '2001-11-21', 'metacritic_score': None}"
Mario Kart 8,"{'release_date': '2014-05-29', 'metacritic_score': None}"
Fallout 4,"{'release_date': '2015-11-09', 'metacritic_score': 84}"
Mario Kart: Double Dash!!,"{'release_date': '2003-11-07', 'metacritic_score': 87}"
Just Dance 4,"{'release_date': '2012-10-02', 'metacritic_score': None}"
FIFA 14,"{'release_date': '2013-09-23', 'metacritic_score': None}"
Need for Speed Underground 2,"{'release_date': '2004-11-09', 'metacritic_score': None}"
Medal of Honor: Frontline,"{'release_date': '2002-05-28', 'metacritic_score': None}"
Uncharted 3: Drake's Deception,"{'release_date': '2011-11-01', 'metacritic_score': 92}"
Crash Bandicoot,"{'release_date': '1996-09-09', 'metacritic_score': None}"
Zumba Fitness,"{'release_date': '2010-11-18', 'metacritic_score': None}"
Gears of War 2,"{'release_date': '2008-11-07', 'metacritic_score': None}"
Uncharted 2: Among Thieves,"{'release_date': '2009-10-13', 'metacritic_score': 96}"
FIFA 12,"{'release_date': '2011-09-27', 'metacritic_score': None}"
Big Brain Academy,"{'release_date': '2006-06-05', 'metacritic_score': None}"
Red Dead Redemption,"{'release_date': '2010-05-18', 'metacritic_score': None}"
FIFA 15,"{'release_date': '2014-09-20', 'metacritic_score': None}"
Donkey Kong Country Returns,"{'release_date': '2010-11-21', 'metacritic_score': None}"
The Legend of Zelda,"{'release_date': '1986-02-21', 'metacritic_score': None}"
Assassin's Creed III,"{'release_date': '2012-10-30', 'metacritic_score': 80}"
Halo: Combat Evolved,"{'release_date': '2001-11-15', 'metacritic_score': None}"
Pokémon Emerald Version,"{'release_date': '2004-09-16', 'metacritic_score': None}"
Kingdom Hearts,"{'release_date': '2002-03-28', 'metacritic_score': 85}"
Pokémon Crystal Version,"{'release_date': '2000-12-14', 'metacritic_score': None}"
Halo 3: ODST,"{'release_date': '2009-09-22', 'metacritic_score': 83}"
Super Mario Sunshine,"{'release_date': '2002-08-25', 'metacritic_score': 92}"
Street Fighter II: The World Warrior,"{'release_date': '1991-07-14', 'metacritic_score': None}"
World of Warcraft,"{'release_date': '2004-11-23', 'metacritic_score': None}"
Driver,"{'release_date': '1999-06-25', 'metacritic_score': None}"
Kinect Sports,"{'release_date': '2010-11-04', 'metacritic_score': None}"
Gears of War 3,"{'release_date': '2011-09-20', 'metacritic_score': None}"
Gears of War,"{'release_date': '2006-11-08', 'metacritic_score': None}"
Metal Gear Solid 2: Sons of Liberty,"{'release_date': '2001-11-12', 'metacritic_score': 96}"
Sonic the Hedgehog 2,"{'release_date': '1992-11-21', 'metacritic_score': None}"
Metal Gear Solid 4: Guns of the Patriots,"{'release_date': '2008-06-12', 'metacritic_score': None}"
Metal Gear Solid,"{'release_date': '1998-09-03', 'metacritic_score': None}"
The Last of Us,"{'release_date': '2013-06-14', 'metacritic_score': None}"
Final Fantasy XII,"{'release_date': '2006-03-16', 'metacritic_score': None}"
LittleBigPlanet,"{'release_date': '2008-10-27', 'metacritic_score': None}"
Dragon Quest IX: Sentinels of the Starry Skies,"{'release_date': '2010-07-11', 'metacritic_score': None}"
LEGO Star Wars: The Complete Saga,"{'release_date': '2007-11-06', 'metacritic_score': 77}"
Resident Evil 2,"{'release_date': '2019-01-25', 'metacritic_score': None}"
Tekken 2,"{'release_date': '1995-09-29', 'metacritic_score': None}"
Cooking Mama,"{'release_date': '2006-09-12', 'metacritic_score': None}"
Destiny,"{'release_date': '2014-09-09', 'metacritic_score': 76}"
Assassin's Creed II,"{'release_date': '2009-11-17', 'metacritic_score': None}"
Super Smash Bros.,"{'release_date': '2014-09-13', 'metacritic_score': None}"
Assassin's Creed,"{'release_date': '2007-11-13', 'metacritic_score': None}"
Batman: Arkham City,"{'release_date': '2011-10-18', 'metacritic_score': None}"
Forza Motorsport 3,"{'release_date': '2009-10-22', 'metacritic_score': None}"
Monster Hunter Freedom Unite,"{'release_date': '2009-10-02', 'metacritic_score': None}"
Super Mario Advance,"{'release_date': '2001-06-11', 'metacritic_score': None}"
Mario Kart: Super Circuit,"{'release_date': '2001-07-21', 'metacritic_score': None}"
Pokemon Stadium,"{'release_date': '1999-04-30', 'metacritic_score': None}"
Crash Bandicoot: The Wrath of Cortex,"{'release_date': '2001-10-29', 'metacritic_score': None}"
Final Fantasy XIII,"{'release_date': '2009-12-17', 'metacritic_score': None}"
Dr. Mario,"{'release_date': '1990-07-27', 'metacritic_score': None}"
Pokemon Pinball,"{'release_date': '1999-04-14', 'metacritic_score': None}"
Final Fantasy IX,"{'release_date': '2000-07-07', 'metacritic_score': 84}"
Final Fantasy X-2,"{'release_date': '2003-03-13', 'metacritic_score': None}"
Donkey Kong 64,"{'release_date': '1999-11-22', 'metacritic_score': 90}"
Professor Layton and the Curious Village,"{'release_date': '2007-02-15', 'metacritic_score': None}"
Tomb Raider II,"{'release_date': '2011-10-27', 'metacritic_score': None}"
Dragon Quest VIII: Journey of the Cursed King,"{'release_date': '2004-11-27', 'metacritic_score': None}"
Diablo III,"{'release_date': '2012-05-15', 'metacritic_score': 88}"
New Super Mario Bros. U,"{'release_date': '2012-11-18', 'metacritic_score': None}"
Super Mario Land 3: Wario Land,"{'release_date': '1994-01-21', 'metacritic_score': None}"
The Legend of Zelda: Phantom Hourglass,"{'release_date': '2007-10-01', 'metacritic_score': None}"
Donkey Kong Country 2: Diddy's Kong Quest,"{'release_date': '1995-11-20', 'metacritic_score': None}"
Tomodachi Life,"{'release_date': '2014-06-06', 'metacritic_score': None}"
Medal of Honor: Rising Sun,"{'release_date': '2003-11-11', 'metacritic_score': None}"
Kirby's Dream Land,"{'release_date': '1992-04-27', 'metacritic_score': None}"
Fable III,"{'release_date': '2010-10-25', 'metacritic_score': None}"
Microsoft Flight Simulator,"{'release_date': None, 'metacritic_score': None}"
Guitar Hero II,"{'release_date': '2006-11-07', 'metacritic_score': None}"
Resident Evil 5,"{'release_date': '2009-03-03', 'metacritic_score': 86}"
Grand Theft Auto: Vice City Stories,"{'release_date': '2006-10-31', 'metacritic_score': None}"
FIFA Soccer 11,"{'release_date': None, 'metacritic_score': None}"
Resident Evil,"{'release_date': '2002-03-22', 'metacritic_score': None}"
Tony Hawk's Pro Skater,"{'release_date': '1999-08-31', 'metacritic_score': None}"
Warzone 2100,"{'release_date': '1999-01-01', 'metacritic_score': None}"
